cgpa,package
2.76,3.26
2.05,1.98
3.13,3.25
2.97,3.67
2.78,3.57
3.16,2.99
2.69,2.6
2.7,2.48
2.44,2.31
3.32,3.51
2.13,1.86
2.64,2.6
3.58,3.65
2.77,2.89
3.09,3.42
2.9,3.23
2.74,2.35
2.15,2.09
2.78,2.98
2.99,2.83
2.91,3.16
2.74,2.93
2.46,2.3
2.48,2.48
2.61,2.71
2.91,3.65
3.32,3.42
2.17,2.16
2.38,2.24
2.86,3.49
2.94,3.26
3.24,3.89
2.78,3.08
2.54,2.73
2.94,3.42
2.75,2.87
2.4,2.84
2.36,2.43
3.45,4.36
2.97,3.33
3.75,4.02
2.76,2.7
2.38,2.54
3.06,2.76
2.04,1.86
3.15,3.58
2.43,2.26
2.34,3.26
3.45,4.09
3.55,4.62
3.83,4.43
3.7,3.79
3.35,4.11
2.59,2.61
2.74,3.09
3.28,3.39
2.34,2.74
2.64,1.94
2.77,3.09
3.02,3.31
2.24,2.19
2.19,1.61
2.54,2.09
3.66,4.25
2.94,2.92
3.04,3.81
2.04,1.63
2.6,2.89
3.02,2.99
2.92,2.94
2.32,2.35
2.99,3.34
3.11,3.62
3.38,4.03
2.74,3.44
2.79,3.28
2.78,3.15
3.6,4.6
2.64,2.21
2.87,3.0
3.05,3.44
2.44,2.2
2.23,2.17
3.38,3.49
1.7,1.53
1.92,1.48
3.04,2.77
3.24,3.55
1.89,1.48
2.57,2.72
2.84,2.66
2.49,2.14
3.16,4.0
2.72,3.08
2.33,2.42
2.65,2.79
2.84,2.61
2.39,2.84
3.08,3.83
2.64,3.24
3.18,4.14
2.68,3.52
2.05,1.37
2.82,3.0
3.05,3.74
2.66,2.82
2.45,2.19
2.53,2.59
3.1,3.54
3.11,4.06
3.27,3.76
2.17,2.25
3.43,4.1
2.78,2.37
2.34,1.87
3.34,4.21
3.62,3.33
2.85,2.99
2.96,2.88
2.96,2.65
2.09,1.73
2.6,3.02
2.05,2.01
2.04,2.3
2.42,2.31
2.93,3.16
2.36,2.6
2.71,3.11
3.17,3.34
2.92,3.12
2.67,2.49
2.55,2.01
2.34,2.48
2.42,2.58
2.88,2.83
2.44,2.6
2.26,2.1
2.86,3.13
3.16,3.89
2.88,2.4
3.16,3.15
2.7,3.18
2.77,3.04
1.94,1.54
2.47,2.42
2.34,2.18
2.43,2.46
2.26,2.21
3.03,3.4
3.31,3.67
2.52,2.73
2.45,2.76
2.95,3.08
3.18,3.99
2.83,2.85
2.79,3.09
2.95,3.13
2.59,2.7
2.38,3.04
3.48,4.08
2.85,2.93
2.92,3.33
2.21,2.55
3.57,3.91
3.62,3.82
3.28,4.08
3.44,3.98
3.25,3.6
3.46,3.52
3.72,4.37
2.49,2.87
3.2,3.76
2.77,2.51
2.7,2.56
2.93,2.99
2.82,3.5
2.52,3.23
2.84,3.64
3.26,3.63
2.86,3.03
2.48,2.72
3.29,3.89
2.35,2.08
2.91,2.72
3.15,3.14
2.52,3.18
3.14,3.47
2.5,2.44
2.94,3.08
3.24,4.06
2.48,2.69
2.91,3.48
3.3,3.75
1.83,1.94
3.16,3.67
2.77,2.46
2.36,2.57
2.88,3.24
3.05,3.96
2.49,2.33
