Feature_X,Target_Y
-9.89,188.53
-9.86,196.18
-9.67,218.34
-9.59,201.25
-9.49,161.27
-9.37,207.48
-9.31,176.03
-9.26,176.19
-9.18,170.16
-9.1,174.02
-9.07,151.71
-8.97,148.5
-8.84,138.36
-8.73,161.89
-8.7,147.99
-8.52,155.34
-8.51,179.53
-8.46,142.26
-8.23,143.2
-8.19,144.52
-8.14,136.13
-8.05,106.77
-7.84,136.77
-7.8,128.58
-7.73,109.36
-7.68,121.29
-7.61,123.34
-7.6,147.6
-7.56,117.5
-7.25,91.65
-7.21,109.09
-7.18,95.87
-7.1,100.57
-6.88,122.65
-6.88,101.78
-6.78,76.45
-6.59,94.08
-6.51,96.7
-6.36,93.32
-6.33,108.64
-6.3,87.87
-6.27,76.66
-6.27,80.55
-6.08,131.73
-6.03,48.43
-6.01,68.19
-5.75,72.39
-5.56,43.21
-5.47,41.63
-5.44,62.2
-5.42,44.94
-5.25,51.8
-5.21,63.42
-5.16,44.35
-5.16,56.97
-5.01,39.67
-4.96,62.03
-4.84,34.49
-4.82,33.29
-4.57,51.6
-4.43,30.8
-4.38,26.8
-4.3,50.53
-4.2,-13.26
-4.18,22.63
-4.16,38.71
-3.98,21.33
-3.92,26.98
-3.91,17.84
-3.78,-1.79
-3.77,29.24
-3.71,4.78
-3.64,11.78
-3.58,30.56
-3.54,33.83
-3.5,27.25
-3.49,41.44
-3.38,55.04
-3.25,-8.19
-3.22,-0.99
-3.18,21.34
-3.02,-2.92
-2.86,27.8
-2.83,5.07
-2.73,11.76
-2.67,26.7
-2.64,26.37
-2.51,2.39
-2.27,19.69
-2.23,24.22
-1.79,13.08
-1.65,29.25
-1.46,-4.75
-1.45,10.27
-1.36,-9.64
-1.2,15.71
-0.88,1.74
-0.56,-1.1
-0.21,1.85
-0.12,-9.77
-0.1,-18.67
-0.06,5.36
0.05,9.45
0.17,-7.2
0.21,10.02
0.24,-14.97
0.28,40.96
0.38,4.5
0.4,-16.82
0.45,26.9
0.5,-10.82
0.59,-11.63
0.72,1.34
0.79,-20.3
0.85,-2.09
0.93,7.11
1.1,-6.02
1.23,-2.01
1.82,15.54
1.85,16.22
1.96,15.39
1.97,-2.93
2.02,-6.44
2.15,-6.81
2.19,21.8
2.24,8.85
2.47,2.39
2.65,26.21
2.66,17.65
2.67,38.72
2.67,33.85
2.73,30.37
2.75,27.92
2.9,34.23
3.2,15.66
3.25,23.44
3.44,31.91
3.55,12.95
3.68,20.46
3.82,38.53
4.06,23.63
4.14,35.2
4.16,46.44
4.26,49.36
4.52,30.07
4.56,58.15
4.58,25.79
4.59,32.25
4.64,47.45
5.11,63.86
5.22,36.4
5.23,51.72
5.42,51.61
5.43,48.14
5.44,69.59
5.5,76.37
5.6,84.79
5.7,86.86
6.04,74.29
6.07,67.17
6.15,93.06
6.16,57.23
6.17,74.99
6.31,95.95
6.34,86.7
6.36,81.95
6.57,81.73
6.65,102.87
6.71,85.29
7.21,98.32
7.26,106.16
7.32,117.12
7.43,88.93
7.55,111.7
7.74,108.06
7.74,124.53
7.85,144.9
7.9,110.64
7.92,125.66
7.94,118.62
7.94,122.96
8.01,121.2
8.15,151.89
8.17,144.55
8.19,139.81
8.44,150.09
8.49,158.92
8.59,143.92
8.73,152.4
8.79,133.86
8.86,154.66
8.98,171.91
9.01,166.0
9.25,162.25
9.31,180.55
9.39,192.65
9.4,164.34
9.44,170.67
9.71,207.85
9.74,161.64
