Area_Marla,Bedrooms,House_Age_years,Distance_to_City_km,Price_PKR
34,7,10,12.5,78492987.0
14,2,6,23.3,17286147.0
20,3,27,7.8,47681169.0
9,2,3,11.0,39737444.0
26,1,23,13.8,72564074.0
14,7,28,24.3,28153985.0
12,1,15,2.0,29326061.0
16,5,11,26.3,33010585.0
7,6,4,3.9,15978063.0
31,4,31,23.3,66364171.0
3,5,37,14.2,7269010.0
8,6,19,22.3,21020139.0
15,6,38,13.1,29840846.0
32,4,19,17.5,89672673.0
22,5,3,3.4,63483701.0
11,1,34,10.8,10050045.0
32,3,21,3.9,79585491.0
37,2,10,29.0,64842261.0
11,2,24,25.8,22153610.0
22,7,14,23.7,32871284.0
13,7,39,20.5,8053436.0
15,2,32,26.3,41105596.0
34,2,17,26.6,72491548.0
26,7,39,18.7,62404218.0
3,2,24,16.8,6754375.0
12,2,9,9.9,33294400.0
11,1,15,20.7,28479533.0
39,2,20,8.8,87592975.0
22,5,27,6.8,43612430.0
38,1,21,2.5,98937516.0
31,4,15,12.5,90416294.0
10,3,7,12.7,23664541.0
13,2,30,8.0,45142711.0
12,3,23,4.6,26789659.0
21,1,4,9.6,37846113.0
10,4,9,21.2,13202028.0
18,6,38,24.3,40625343.0
3,7,7,8.6,5304409.0
15,5,6,25.3,29394520.0
20,3,25,3.1,41940075.0
14,7,13,22.8,34941165.0
18,1,7,8.0,22001770.0
36,2,6,26.6,101486761.0
32,1,19,18.0,87916651.0
27,5,9,15.6,63542456.0
39,3,29,15.7,98115855.0
22,3,22,14.3,44482681.0
38,1,39,13.0,101440165.0
33,6,35,20.8,73657648.0
13,7,17,13.8,32176267.0
23,4,30,10.3,57554747.0
30,4,17,20.6,102831871.0
11,3,38,27.9,17667541.0
25,5,9,17.6,56817821.0
29,4,9,4.2,67459450.0
26,4,23,22.8,52107000.0
25,5,39,21.4,79049408.0
12,2,39,20.8,1500000.0
5,4,17,7.0,1500000.0
21,1,18,22.1,50612403.0
31,1,23,15.4,79921181.0
14,2,16,2.1,28956807.0
13,5,19,6.1,48387256.0
33,5,38,19.4,78575358.0
38,4,3,26.5,99410771.0
31,2,3,6.1,85446833.0
6,3,32,3.8,7123190.0
22,3,15,7.6,58110198.0
23,6,7,6.3,47402815.0
17,1,6,6.5,39488949.0
8,6,35,18.9,16292630.0
8,6,32,29.6,22291938.0
9,2,5,2.3,29579190.0
27,6,7,15.6,61901278.0
10,6,21,4.9,30610218.0
7,1,19,28.2,31335735.0
26,4,3,21.1,57467777.0
38,1,24,29.8,82099824.0
18,3,24,28.8,61384841.0
37,6,38,11.9,94133224.0
6,7,1,10.9,36641554.0
21,4,7,11.4,61819276.0
16,2,30,3.4,25513933.0
6,2,34,5.7,11034104.0
32,5,19,23.2,60489356.0
25,4,1,12.9,66444027.0
24,4,2,22.3,52088458.0
24,3,11,14.2,56442373.0
20,2,23,23.2,38357348.0
26,4,3,20.2,84975461.0
33,7,39,23.9,74418467.0
39,2,13,19.4,106818338.0
10,4,34,8.7,11656126.0
23,1,16,28.8,58274673.0
30,1,8,3.6,75959857.0
14,4,2,24.4,48485902.0
8,4,5,29.6,26703572.0
25,6,2,9.6,70275114.0
28,5,6,2.4,81397030.0
21,6,4,21.3,61441099.0
16,5,29,18.6,45691371.0
6,5,3,18.5,26192035.0
17,2,28,29.2,51817272.0
26,2,15,13.9,55078822.0
16,2,13,11.4,52571823.0
27,6,5,23.5,69372375.0
23,2,24,13.7,56461555.0
3,4,14,30.0,8467673.0
32,4,19,4.3,87766964.0
14,7,37,27.4,24700619.0
30,6,5,28.2,83871187.0
36,6,26,17.9,104242367.0
27,7,23,26.5,54560840.0
39,3,8,22.2,88844869.0
12,5,3,22.4,29479620.0
6,6,20,23.7,30256527.0
4,1,20,19.1,1500000.0
18,4,5,18.0,23446448.0
7,1,26,6.9,1500000.0
7,1,17,14.6,3345596.0
39,2,2,6.5,101159031.0
21,1,3,13.4,48387700.0
17,2,10,5.4,54882789.0
31,4,38,9.6,90366107.0
20,6,2,18.8,75451316.0
26,5,25,29.2,66375091.0
19,4,21,9.7,51149190.0
9,1,18,25.6,4757790.0
10,6,22,20.8,14827126.0
23,3,34,7.1,67966471.0
13,3,37,13.4,29000632.0
35,6,39,18.6,90457362.0
26,3,30,7.8,68992802.0
25,7,33,11.7,60778414.0
24,3,6,19.7,56092748.0
29,1,13,16.0,66630877.0
15,7,20,26.5,16693852.0
5,7,34,20.7,10434985.0
20,6,13,24.7,34953596.0
4,7,22,14.5,15208832.0
28,7,21,18.5,84044844.0
5,4,14,22.4,7470743.0
19,5,36,3.6,44874084.0
5,6,5,6.7,8806636.0
27,7,20,29.7,69280232.0
18,3,12,25.8,55602295.0
32,7,29,14.8,60838768.0
9,5,35,3.2,38925797.0
31,1,38,19.2,90238665.0
25,1,12,27.5,70314388.0
23,2,12,26.9,60919620.0
28,6,20,10.0,83793009.0
36,7,26,4.3,89820270.0
10,6,33,4.1,24793249.0
11,3,38,25.9,21218816.0
19,1,28,25.9,21332405.0
32,5,31,21.1,70583894.0
3,2,29,20.7,10175206.0
19,2,23,5.5,57589037.0
38,4,11,10.4,91812917.0
28,2,18,18.6,62833127.0
34,7,6,22.6,78737160.0
14,2,22,22.3,32143969.0
11,1,5,10.9,53940913.0
14,6,6,25.6,26186215.0
15,3,30,11.5,33169427.0
18,2,39,22.0,29239427.0
25,5,23,5.8,66954215.0
5,2,11,13.1,18227493.0
4,4,2,29.5,13269094.0
37,7,14,28.5,86558004.0
38,2,9,12.7,86952642.0
34,4,27,27.5,84536257.0
18,5,17,11.7,59745181.0
24,1,1,12.0,76476965.0
6,2,18,21.7,12313690.0
12,2,21,16.4,25434928.0
32,3,3,10.0,66244529.0
33,4,21,3.2,68775524.0
38,7,39,8.2,99331885.0
