x1,x2,target
1.587,-0.77,0
1.135,-1.762,0
0.756,-2.155,0
1.029,-1.85,0
0.563,1.11,1
2.095,1.105,1
1.424,-0.709,1
1.326,-1.418,0
0.81,1.501,1
1.597,-1.017,0
0.993,1.93,1
0.834,1.372,1
1.02,1.277,1
0.914,0.639,1
1.735,-1.119,0
1.959,-0.111,0
3.262,0.374,1
1.247,-1.164,0
0.966,1.157,1
2.392,0.066,1
1.513,1.921,1
1.449,-0.857,0
0.868,-1.956,0
0.759,1.213,1
0.632,1.997,1
0.619,2.573,1
1.376,0.816,1
1.699,0.971,1
2.347,0.569,1
1.26,-1.085,0
1.629,-0.784,0
1.694,-0.743,0
1.281,-1.389,0
1.867,-0.295,0
2.574,-0.376,1
1.694,-0.202,0
1.206,-1.716,0
1.128,-1.509,0
0.535,1.196,1
1.489,-0.874,0
0.879,0.91,1
0.83,-2.156,0
1.621,0.59,1
1.122,-1.895,0
1.289,-1.214,0
0.372,2.581,1
1.673,-0.851,0
0.888,1.569,1
1.568,0.54,0
0.119,1.605,1
2.817,1.248,1
1.041,-1.584,0
1.584,-1.223,0
1.103,1.933,1
1.683,0.913,1
1.412,3.034,1
2.219,0.108,1
0.559,1.972,1
1.149,-1.583,0
0.831,-2.27,0
1.842,2.077,1
1.729,0.513,1
0.838,-2.357,0
0.991,0.672,1
1.402,1.236,1
1.197,-1.823,0
1.657,1.581,1
2.409,0.206,1
2.727,-0.064,1
1.865,2.383,1
1.583,-0.698,0
0.331,2.104,1
0.932,-2.26,0
1.307,-1.202,0
0.956,1.143,1
1.517,-0.742,0
1.175,1.198,1
2.691,1.306,1
0.979,-2.008,0
0.616,2.31,1
1.241,1.181,1
1.491,-0.804,0
1.194,-1.334,0
1.625,-0.627,0
0.573,1.81,1
0.862,-1.936,0
1.447,1.052,1
0.584,2.057,1
1.307,-1.139,0
1.155,1.13,1
1.041,-1.624,0
1.847,-0.402,0
1.264,-0.941,1
2.098,-0.841,1
0.492,2.338,1
0.009,0.72,1
0.597,2.915,1
1.44,-0.882,0
0.297,-3.124,0
0.933,-1.958,0
1.794,-1.006,0
1.192,-1.968,0
0.571,1.877,1
1.246,-1.833,0
0.481,1.747,1
1.285,-1.451,0
1.533,-0.544,0
-0.762,2.296,0
1.347,-1.391,0
1.389,-0.993,0
2.259,1.783,1
0.487,2.012,0
1.613,-0.424,0
0.596,0.964,1
1.424,-1.419,0
1.271,-1.268,0
0.942,-1.808,0
0.722,0.302,1
0.586,1.612,1
2.25,1.521,1
1.696,-0.415,0
2.906,-0.165,1
0.344,1.433,1
1.242,-1.468,0
1.857,0.692,1
2.1,0.723,1
0.589,0.642,1
1.062,-1.732,0
1.987,0.034,0
1.27,0.201,1
1.671,-0.485,0
1.302,2.473,1
1.166,-1.7,0
1.033,-1.731,0
1.645,-0.416,0
1.257,-1.533,1
1.4,-1.055,0
0.525,1.667,1
1.186,-1.261,0
1.288,-0.846,0
-0.036,0.728,0
1.642,-1.082,0
0.856,1.396,1
1.214,-1.296,0
0.422,1.042,1
1.161,-1.361,0
1.154,1.496,1
1.635,1.386,0
1.356,-1.624,0
1.187,-1.443,0
1.691,1.511,1
1.287,-1.419,0
1.347,1.793,1
0.916,0.456,1
1.022,-1.499,0
2.314,0.119,1
1.106,-1.677,0
0.865,-2.086,0
1.097,1.818,1
1.948,1.127,1
0.744,-2.119,0
1.337,1.267,1
1.59,2.453,1
1.018,-1.882,0
1.07,2.099,1
0.638,1.744,1
1.147,0.558,1
1.254,-1.689,0
1.58,-0.785,0
0.821,-2.23,0
0.606,1.805,1
1.02,-1.57,0
0.777,2.144,1
1.71,0.372,1
0.972,-1.956,0
1.473,-0.955,0
0.441,2.615,1
1.476,-0.693,0
1.589,0.221,1
1.17,-1.482,0
1.428,-0.73,0
-0.496,2.902,1
1.775,0.421,0
1.428,-1.412,0
1.226,-1.69,1
2.171,0.805,1
1.074,-1.736,0
1.78,2.181,1
3.204,0.789,1
1.156,-1.497,0
1.322,-1.448,0
1.214,-1.494,0
2.158,1.342,1
1.607,-0.716,0
1.094,1.222,1
1.156,-2.031,0
0.836,1.159,1
0.748,2.069,1
-0.33,1.37,1
0.765,1.075,1
1.305,-1.445,0
-0.463,1.895,1
1.26,-1.093,0
0.885,-2.251,0
1.19,-1.769,0
0.897,0.507,1
1.639,-1.136,0
0.765,-2.277,0
1.181,0.75,1
0.723,1.694,1
2.265,0.708,1
1.526,2.689,1
1.449,-0.925,0
0.692,1.5,1
1.662,1.098,1
0.859,1.395,1
1.5,-0.099,1
1.276,-1.144,0
1.007,-1.661,0
0.712,1.454,1
1.406,-1.068,0
0.419,1.717,1
1.687,-0.505,0
1.382,-1.074,0
1.298,-1.121,0
1.292,1.914,1
1.092,-1.424,0
1.342,-1.412,0
1.105,2.954,1
1.205,-1.936,0
1.365,-0.942,0
1.465,1.936,1
1.039,-1.584,0
2.884,1.182,1
1.146,1.356,1
2.511,0.362,1
1.527,-0.318,0
1.173,-1.103,0
1.636,-0.031,1
1.112,-1.537,0
1.427,-1.12,1
2.664,0.223,1
0.593,2.23,1
1.41,-0.882,0
-0.254,2.041,1
1.156,-1.351,0
1.557,-1.108,0
1.745,1.28,1
0.553,1.013,1
1.037,-1.789,0
0.162,1.663,1
0.347,1.674,1
1.446,-1.305,0
0.631,-2.134,0
2.935,1.288,1
1.206,-1.23,0
1.403,-1.357,0
0.905,0.976,1
2.191,1.636,1
1.299,-1.378,0
1.833,-0.366,0
1.251,1.972,1
1.425,0.85,1
1.359,-1.307,0
1.269,-1.258,0
2.96,-0.46,1
1.753,1.553,1
2.016,1.468,1
1.979,1.433,1
1.062,-1.553,0
1.477,-0.776,0
1.11,-1.762,0
1.558,-0.608,0
1.54,1.593,1
1.064,-1.629,0
1.051,-1.77,0
1.458,-0.361,1
1.066,-1.693,0
0.518,1.168,1
0.816,2.068,1
1.756,0.873,1
1.811,-0.307,0
1.969,0.977,1
1.199,-1.583,0
1.653,-0.192,0
1.07,1.493,1
1.576,-1.226,0
0.313,1.511,1
1.523,-0.909,0
1.219,-1.718,0
0.923,-2.247,0
0.487,1.948,1
-0.001,3.186,1
1.064,-2.04,0
1.366,-1.216,0
1.971,1.266,1
1.129,-1.685,0
0.061,2.828,0
1.883,0.772,1
1.962,1.968,1
