Age,Department,MonthlyIncome,YearsAtCompany,DistanceFromHome,JobSatisfaction,OverTime,EducationLevel,WorkLifeBalance,NumCompaniesWorked,Attrition
59,Sales,57079.0,8,39.0,1.0,Yes,High School,1,4,Yes
49,HR,62266.0,23,17.0,4.0,Yes,High School,3,7,Yes
35,HR,39570.0,4,20.0,2.0,No,Bachelors,3,1,No
28,IT,69602.0,16,,2.0,Yes,Bachelors,2,0,Yes
41,Marketing,52062.0,8,22.0,1.0,No,Masters,1,0,No
59,R&D,67103.0,16,29.0,4.0,No,PhD,4,7,No
39,Marketing,46437.0,23,22.0,4.0,No,Bachelors,4,5,No
43,Marketing,73711.0,20,9.0,4.0,No,High School,2,7,No
31,HR,57224.0,18,37.0,3.0,No,High School,3,7,Yes
31,Marketing,89285.0,6,10.0,4.0,Yes,Bachelors,1,4,Yes
44,Sales,43349.0,22,36.0,2.0,No,Bachelors,3,2,Yes
56,HR,53682.0,8,37.0,2.0,Yes,Bachelors,4,2,Yes
44,Sales,31432.0,6,28.0,3.0,Yes,Masters,3,7,No
23,R&D,40473.0,12,28.0,,No,High School,4,4,No
42,HR,61136.0,10,21.0,4.0,No,Masters,1,1,No
22,R&D,70328.0,13,24.0,1.0,No,Masters,1,2,Yes
44,HR,103370.0,18,2.0,3.0,Yes,PhD,2,5,No
50,IT,,10,8.0,3.0,No,High School,2,6,No
58,Marketing,33202.0,12,27.0,4.0,Yes,High School,3,4,Yes
22,IT,63560.0,13,22.0,4.0,No,Bachelors,1,7,No
41,R&D,29699.0,12,37.0,3.0,Yes,Bachelors,1,1,Yes
53,Marketing,60157.0,0,27.0,1.0,No,PhD,2,1,Yes
32,HR,40959.0,7,29.0,3.0,No,Masters,4,3,No
42,Marketing,53809.0,11,3.0,4.0,No,Bachelors,3,1,No
45,Sales,69639.0,18,13.0,4.0,No,Bachelors,3,2,Yes
47,Marketing,48007.0,11,10.0,3.0,No,High School,2,7,No
48,Sales,66792.0,7,36.0,1.0,No,High School,1,6,No
36,Marketing,65717.0,7,9.0,3.0,Yes,Bachelors,2,2,No
35,Sales,,20,27.0,3.0,Yes,High School,2,4,Yes
23,R&D,33771.0,12,34.0,4.0,No,PhD,2,6,No
57,IT,21887.0,11,1.0,1.0,No,Bachelors,2,4,No
27,HR,86031.0,15,32.0,2.0,No,High School,4,1,No
41,Marketing,48103.0,0,25.0,1.0,Yes,,4,5,Yes
29,IT,,12,29.0,3.0,No,High School,1,0,Yes
59,HR,20607.0,6,7.0,3.0,No,High School,2,6,No
38,HR,39690.0,4,,3.0,No,High School,4,7,No
24,Sales,64409.0,7,20.0,1.0,No,Bachelors,1,3,Yes
45,R&D,53227.0,24,20.0,4.0,No,Masters,2,0,No
34,R&D,,13,30.0,3.0,Yes,High School,3,1,Yes
29,IT,27431.0,22,35.0,3.0,No,PhD,4,1,Yes
46,R&D,74782.0,12,35.0,1.0,No,Bachelors,1,7,Yes
22,Marketing,63986.0,14,39.0,2.0,No,Bachelors,3,0,No
40,R&D,57229.0,22,27.0,2.0,Yes,PhD,2,3,Yes
48,IT,37659.0,16,26.0,4.0,Yes,High School,2,6,Yes
27,R&D,55828.0,14,14.0,4.0,No,Masters,2,6,No
28,Marketing,44753.0,19,17.0,,No,High School,4,0,No
55,Sales,20291.0,17,18.0,1.0,No,PhD,1,4,Yes
34,IT,49092.0,17,29.0,3.0,No,Bachelors,3,2,Yes
37,Sales,47179.0,1,20.0,4.0,No,Masters,1,5,Yes
56,Sales,69123.0,3,27.0,1.0,Yes,Bachelors,4,4,Yes
24,Sales,15000.0,0,18.0,1.0,No,PhD,1,6,Yes
22,HR,54234.0,3,4.0,4.0,No,High School,4,2,No
26,HR,29200.0,17,1.0,2.0,No,Masters,2,5,No
24,Sales,55746.0,4,1.0,2.0,No,Bachelors,3,5,No
49,IT,56737.0,18,26.0,1.0,No,Bachelors,2,5,Yes
38,Marketing,48437.0,14,20.0,3.0,No,Bachelors,1,1,No
46,Marketing,64531.0,7,23.0,2.0,No,High School,2,7,No
54,R&D,27576.0,19,10.0,,Yes,Masters,3,5,No
30,IT,69939.0,16,11.0,2.0,Yes,High School,2,3,No
56,HR,37255.0,0,5.0,2.0,No,High School,3,0,Yes
34,Sales,21994.0,11,1.0,3.0,Yes,High School,3,6,Yes
51,R&D,45097.0,18,17.0,4.0,Yes,PhD,2,3,No
35,Marketing,15000.0,14,22.0,,No,PhD,4,0,No
28,HR,54575.0,8,34.0,2.0,No,PhD,1,4,No
34,HR,45333.0,6,29.0,,No,Masters,4,7,No
43,Sales,72206.0,1,4.0,4.0,Yes,High School,4,4,Yes
41,Marketing,61681.0,8,5.0,2.0,Yes,High School,2,0,Yes
36,IT,24944.0,9,11.0,2.0,Yes,PhD,1,3,Yes
38,HR,34909.0,1,21.0,4.0,Yes,High School,1,0,Yes
44,Sales,59372.0,18,35.0,2.0,No,,4,5,Yes
46,IT,,10,12.0,4.0,Yes,Bachelors,2,1,Yes
45,Marketing,72005.0,12,,4.0,No,High School,1,6,No
49,HR,71861.0,9,19.0,3.0,Yes,Bachelors,4,4,No
35,IT,48389.0,13,7.0,1.0,No,High School,1,6,Yes
21,IT,56528.0,17,,4.0,No,Masters,2,1,No
45,IT,73377.0,18,26.0,3.0,No,PhD,2,5,Yes
27,HR,44540.0,21,5.0,1.0,No,Bachelors,2,5,No
29,HR,56835.0,8,21.0,2.0,No,,1,4,No
44,R&D,44116.0,24,14.0,1.0,Yes,Bachelors,3,4,Yes
21,Marketing,40083.0,6,4.0,4.0,No,Bachelors,1,5,No
28,Sales,50871.0,2,23.0,4.0,No,Bachelors,3,2,No
44,IT,37624.0,19,20.0,4.0,No,Masters,2,6,No
31,R&D,47644.0,5,15.0,4.0,Yes,High School,4,7,Yes
37,Sales,31371.0,20,29.0,4.0,Yes,Bachelors,3,1,Yes
28,R&D,46580.0,1,8.0,3.0,No,Masters,2,6,Yes
55,HR,58071.0,5,19.0,4.0,No,Bachelors,2,1,No
55,IT,39402.0,2,39.0,3.0,No,High School,3,2,No
53,Sales,50167.0,15,28.0,2.0,Yes,Bachelors,4,7,Yes
25,Sales,52508.0,7,27.0,4.0,No,Masters,2,3,Yes
59,Sales,58146.0,1,4.0,4.0,Yes,High School,3,1,Yes
48,Sales,47596.0,16,,1.0,Yes,Masters,4,6,Yes
27,Sales,69546.0,8,35.0,2.0,No,High School,4,0,No
29,R&D,15000.0,11,37.0,4.0,Yes,High School,2,7,Yes
28,IT,102880.0,2,1.0,,Yes,PhD,1,5,Yes
32,HR,,10,3.0,2.0,No,PhD,1,5,Yes
54,HR,57261.0,0,24.0,3.0,Yes,PhD,2,2,Yes
53,HR,33108.0,22,27.0,4.0,Yes,High School,4,1,Yes
43,HR,,12,36.0,,Yes,Bachelors,2,3,Yes
44,R&D,54978.0,14,34.0,,Yes,Masters,3,1,Yes
57,Marketing,38287.0,4,29.0,1.0,Yes,Masters,1,5,Yes
55,IT,69316.0,20,24.0,1.0,No,Masters,3,4,No
42,Sales,47049.0,16,24.0,4.0,Yes,PhD,2,0,No
47,Marketing,59850.0,24,4.0,4.0,Yes,High School,2,7,No
55,HR,33491.0,22,3.0,1.0,No,PhD,4,2,No
21,Marketing,49444.0,23,34.0,2.0,No,Bachelors,4,4,No
55,IT,86061.0,24,23.0,2.0,No,High School,4,6,No
57,Sales,67333.0,5,23.0,4.0,No,Masters,3,3,No
34,Sales,55537.0,20,5.0,3.0,No,PhD,4,4,No
23,IT,41919.0,21,31.0,2.0,No,PhD,2,6,Yes
21,IT,51215.0,10,6.0,4.0,No,,4,4,No
25,HR,53556.0,17,37.0,2.0,No,Bachelors,1,3,No
46,Sales,58086.0,3,10.0,3.0,Yes,PhD,4,7,No
34,Marketing,30620.0,2,7.0,4.0,Yes,Bachelors,3,4,No
59,R&D,62031.0,12,39.0,3.0,Yes,Masters,1,2,Yes
47,R&D,30387.0,22,38.0,4.0,No,Bachelors,1,5,Yes
29,IT,79360.0,8,21.0,3.0,No,Bachelors,1,1,No
35,HR,36111.0,20,20.0,2.0,No,PhD,3,4,No
35,R&D,55339.0,5,3.0,2.0,No,PhD,2,2,No
46,Sales,68093.0,11,22.0,3.0,No,High School,4,1,No
33,IT,45457.0,1,4.0,3.0,Yes,,1,7,Yes
52,Marketing,56131.0,2,28.0,3.0,Yes,PhD,1,6,Yes
