City,Internet_Type,Usage_Level,Payment_Method,Subscribed
Lahore,Fiber,High,EasyPaisa,Yes
Lahore,Mobile,High,EasyPaisa,No
Lahore,Fiber,Low,EasyPaisa,No
Lahore,Mobile,Low,Card,No
Sahiwal,Fiber,Medium,JazzCash,Yes
Lahore,Fiber,High,JazzCash,Yes
Islamabad,DSL,Low,JazzCash,No
Karachi,Mobile,Medium,Card,No
Lahore,DSL,Low,JazzCash,No
Karachi,Mobile,Low,EasyPaisa,Yes
Islamabad,DSL,Low,EasyPaisa,No
Sahiwal,Mobile,Medium,JazzCash,No
Karachi,Mobile,High,EasyPaisa,No
Islamabad,Mobile,High,EasyPaisa,No
Karachi,Mobile,High,EasyPaisa,No
Lahore,Fiber,Low,JazzCash,No
Islamabad,Mobile,High,EasyPaisa,No
Sahiwal,Mobile,Medium,JazzCash,No
Karachi,Mobile,High,Card,No
Islamabad,Fiber,High,EasyPaisa,Yes
Lahore,Fiber,High,Card,Yes
Lahore,DSL,Medium,JazzCash,No
Lahore,Mobile,High,Card,No
Karachi,Mobile,Medium,JazzCash,No
Sahiwal,Fiber,High,JazzCash,Yes
Islamabad,Mobile,Low,JazzCash,No
Islamabad,Fiber,Medium,Card,Yes
Lahore,Mobile,Medium,EasyPaisa,No
Karachi,DSL,Low,EasyPaisa,No
Lahore,Fiber,High,EasyPaisa,Yes
Islamabad,Fiber,High,Card,Yes
Sahiwal,Fiber,High,Card,Yes
Karachi,DSL,High,JazzCash,Yes
Sahiwal,Fiber,Low,EasyPaisa,No
Islamabad,Mobile,Low,EasyPaisa,No
Lahore,Fiber,Low,JazzCash,Yes
Islamabad,DSL,High,EasyPaisa,Yes
Sahiwal,Fiber,Medium,EasyPaisa,Yes
Sahiwal,DSL,Medium,JazzCash,No
Lahore,Mobile,High,EasyPaisa,Yes
Karachi,Fiber,Low,EasyPaisa,No
Islamabad,DSL,Low,JazzCash,No
Lahore,DSL,High,EasyPaisa,No
Lahore,Fiber,Low,JazzCash,No
Islamabad,DSL,Low,JazzCash,Yes
Sahiwal,DSL,Medium,JazzCash,No
Sahiwal,Fiber,Low,EasyPaisa,No
Lahore,Mobile,Medium,EasyPaisa,No
Islamabad,Fiber,High,EasyPaisa,No
Lahore,Mobile,Low,EasyPaisa,No
Islamabad,Mobile,High,Card,No
Karachi,DSL,Low,Card,No
Karachi,DSL,Low,Card,No
Karachi,Fiber,Low,Card,No
Lahore,Fiber,High,Card,Yes
Karachi,Fiber,Low,JazzCash,No
Karachi,Mobile,High,EasyPaisa,No
Karachi,Mobile,Low,JazzCash,No
Lahore,Mobile,High,JazzCash,No
Islamabad,Mobile,Medium,Card,No
Karachi,Mobile,Medium,EasyPaisa,No
Sahiwal,DSL,Low,JazzCash,No
Karachi,Fiber,High,Card,Yes
Lahore,Fiber,Low,EasyPaisa,No
Karachi,Mobile,High,JazzCash,No
Karachi,DSL,Low,EasyPaisa,No
Lahore,DSL,High,Card,Yes
Islamabad,Fiber,Low,EasyPaisa,No
Karachi,DSL,High,EasyPaisa,Yes
Lahore,DSL,Low,EasyPaisa,No
Sahiwal,DSL,Medium,EasyPaisa,Yes
Islamabad,DSL,Medium,EasyPaisa,No
Karachi,DSL,High,JazzCash,Yes
Karachi,Fiber,Low,EasyPaisa,No
Karachi,Fiber,Low,JazzCash,No
Karachi,DSL,High,EasyPaisa,Yes
Islamabad,DSL,Low,JazzCash,Yes
Islamabad,DSL,Medium,Card,No
Karachi,Mobile,Low,JazzCash,No
Sahiwal,DSL,Medium,JazzCash,No
Islamabad,DSL,High,Card,Yes
Islamabad,Mobile,High,JazzCash,No
Lahore,DSL,Medium,JazzCash,No
Karachi,DSL,Medium,Card,No
Sahiwal,Mobile,Low,EasyPaisa,No
Karachi,Fiber,Low,JazzCash,No
Islamabad,Fiber,Low,EasyPaisa,No
Lahore,DSL,Medium,Card,Yes
Sahiwal,DSL,Medium,EasyPaisa,No
Lahore,Fiber,Medium,EasyPaisa,No
Sahiwal,Fiber,High,EasyPaisa,Yes
Sahiwal,Mobile,High,Card,Yes
Sahiwal,Mobile,High,JazzCash,No
Sahiwal,Fiber,High,JazzCash,Yes
Islamabad,Mobile,Medium,JazzCash,No
Karachi,DSL,Low,JazzCash,No
Karachi,DSL,High,EasyPaisa,No
Sahiwal,Mobile,Low,EasyPaisa,Yes
Sahiwal,DSL,High,JazzCash,Yes
Sahiwal,DSL,High,EasyPaisa,Yes
Sahiwal,DSL,Low,JazzCash,No
Sahiwal,Mobile,High,Card,Yes
Islamabad,DSL,Low,JazzCash,No
Sahiwal,DSL,High,JazzCash,Yes
Sahiwal,Fiber,High,EasyPaisa,Yes
Lahore,Fiber,High,EasyPaisa,Yes
Islamabad,Fiber,Medium,JazzCash,Yes
Karachi,DSL,Medium,JazzCash,No
Lahore,DSL,Low,Card,Yes
Karachi,Fiber,High,Card,No
Lahore,Fiber,Low,Card,No
Islamabad,DSL,High,Card,Yes
Sahiwal,Mobile,Medium,EasyPaisa,No
Lahore,Fiber,Medium,Card,No
Karachi,Mobile,High,JazzCash,No
Islamabad,Fiber,High,Card,Yes
Karachi,Mobile,High,Card,No
Karachi,Mobile,Medium,JazzCash,Yes
Karachi,Fiber,Medium,EasyPaisa,Yes
Karachi,Mobile,Medium,EasyPaisa,No
Karachi,Mobile,High,JazzCash,No
Karachi,DSL,Low,JazzCash,No
Islamabad,DSL,High,Card,Yes
Lahore,DSL,Medium,JazzCash,No
Karachi,DSL,Medium,Card,Yes
Lahore,Mobile,Low,EasyPaisa,No
Sahiwal,Mobile,Low,JazzCash,No
Sahiwal,DSL,Low,JazzCash,No
Islamabad,DSL,High,JazzCash,Yes
Karachi,DSL,High,JazzCash,Yes
Sahiwal,DSL,Medium,EasyPaisa,No
Islamabad,DSL,Low,Card,No
Islamabad,Fiber,Low,JazzCash,No
Karachi,Fiber,Low,EasyPaisa,No
Karachi,Fiber,High,EasyPaisa,Yes
Lahore,Mobile,Medium,EasyPaisa,No
Sahiwal,Fiber,Low,JazzCash,No
Sahiwal,DSL,Low,JazzCash,No
Sahiwal,Fiber,Low,JazzCash,Yes
Lahore,Fiber,Low,JazzCash,No
Islamabad,Fiber,High,Card,Yes
Islamabad,Mobile,Medium,JazzCash,No
Sahiwal,DSL,High,EasyPaisa,Yes
Lahore,Fiber,High,JazzCash,Yes
Islamabad,Fiber,Low,EasyPaisa,No
Sahiwal,DSL,High,JazzCash,Yes
Islamabad,DSL,High,Card,Yes
Lahore,Mobile,Low,Card,No
Islamabad,DSL,Low,EasyPaisa,No
Karachi,Fiber,Low,EasyPaisa,No
Karachi,DSL,Low,Card,No
Sahiwal,DSL,High,JazzCash,Yes
Lahore,DSL,High,Card,Yes
Lahore,Fiber,High,Card,Yes
Karachi,Mobile,Low,JazzCash,No
Sahiwal,DSL,Low,JazzCash,No
Sahiwal,Fiber,Medium,JazzCash,Yes
Lahore,Fiber,Medium,Card,Yes
Sahiwal,Mobile,Low,EasyPaisa,No
Karachi,Fiber,Medium,EasyPaisa,Yes
Sahiwal,DSL,Low,Card,No
Sahiwal,Mobile,Medium,EasyPaisa,No
Islamabad,DSL,Medium,JazzCash,Yes
Islamabad,Mobile,Low,Card,Yes
Sahiwal,Fiber,Low,JazzCash,No
Islamabad,DSL,High,Card,Yes
Sahiwal,DSL,Medium,JazzCash,No
Sahiwal,Fiber,High,Card,Yes
Lahore,DSL,Medium,Card,No
Lahore,DSL,High,Card,Yes
Sahiwal,Fiber,Medium,JazzCash,Yes
Sahiwal,DSL,Medium,Card,No
Sahiwal,Fiber,Medium,JazzCash,No
Sahiwal,DSL,High,EasyPaisa,Yes
Lahore,Fiber,High,JazzCash,Yes
Sahiwal,Fiber,High,EasyPaisa,Yes
Sahiwal,Mobile,Low,JazzCash,No
Karachi,DSL,High,JazzCash,Yes
Karachi,Mobile,High,JazzCash,No
Sahiwal,Mobile,Low,EasyPaisa,No
Karachi,Fiber,High,JazzCash,Yes
Lahore,DSL,Low,JazzCash,No
Lahore,DSL,Low,JazzCash,No
Islamabad,Fiber,High,Card,Yes
Islamabad,Fiber,Low,Card,No
Islamabad,DSL,High,EasyPaisa,No
Karachi,DSL,Medium,EasyPaisa,No
Sahiwal,DSL,High,EasyPaisa,No
Karachi,Mobile,Medium,JazzCash,No
Sahiwal,DSL,Low,JazzCash,No
Sahiwal,Mobile,Medium,JazzCash,No
Karachi,Fiber,High,JazzCash,No
Lahore,Mobile,High,JazzCash,No
Islamabad,Mobile,Medium,Card,No
Karachi,Mobile,High,Card,Yes
Lahore,Mobile,High,JazzCash,No
Lahore,Mobile,Medium,EasyPaisa,No
Karachi,DSL,High,EasyPaisa,No
Karachi,Mobile,High,EasyPaisa,No
Sahiwal,DSL,High,EasyPaisa,No
Lahore,Fiber,Low,Card,No
Sahiwal,Mobile,Medium,JazzCash,Yes
Lahore,DSL,Medium,Card,Yes
Sahiwal,Mobile,Medium,Card,No
Lahore,Mobile,High,Card,No
Lahore,Mobile,Medium,JazzCash,No
Lahore,Fiber,Low,JazzCash,No
Lahore,Fiber,Low,EasyPaisa,No
Karachi,Mobile,High,Card,Yes
Islamabad,DSL,High,JazzCash,No
Karachi,Fiber,High,EasyPaisa,Yes
Islamabad,DSL,Low,JazzCash,No
Karachi,Fiber,Medium,EasyPaisa,Yes
Sahiwal,Fiber,High,Card,Yes
Lahore,Fiber,Medium,EasyPaisa,No
Islamabad,Fiber,High,Card,Yes
Islamabad,DSL,Low,EasyPaisa,No
Islamabad,Fiber,High,EasyPaisa,Yes
Lahore,Fiber,Low,EasyPaisa,No
Lahore,Fiber,Medium,EasyPaisa,No
Lahore,Mobile,Low,JazzCash,No
Lahore,DSL,High,Card,Yes
Karachi,DSL,High,EasyPaisa,No
Sahiwal,DSL,High,JazzCash,No
Sahiwal,Fiber,Low,Card,No
Islamabad,DSL,High,Card,Yes
Karachi,DSL,High,JazzCash,Yes
Sahiwal,Fiber,High,Card,Yes
Islamabad,DSL,Medium,JazzCash,No
Sahiwal,DSL,Medium,EasyPaisa,No
Karachi,Mobile,Medium,EasyPaisa,No
Sahiwal,Fiber,Low,EasyPaisa,No
Karachi,Fiber,High,Card,Yes
Karachi,Mobile,Low,JazzCash,No
Sahiwal,Mobile,Low,Card,No
Lahore,Mobile,High,EasyPaisa,No
Islamabad,Fiber,Medium,JazzCash,Yes
Karachi,Mobile,Low,Card,No
Lahore,Mobile,High,JazzCash,Yes
Karachi,Mobile,Medium,JazzCash,Yes
Islamabad,Mobile,High,EasyPaisa,No
Lahore,Fiber,High,EasyPaisa,Yes
Sahiwal,DSL,Low,JazzCash,No
Lahore,Fiber,Low,Card,Yes
Lahore,DSL,Medium,JazzCash,No
Sahiwal,DSL,Medium,Card,No
Sahiwal,Fiber,Medium,Card,Yes
Karachi,Fiber,Low,Card,Yes
Islamabad,DSL,Low,JazzCash,No
Lahore,Fiber,Medium,JazzCash,Yes
